,altitude,cadence,distance,heart_rate,latitude,longitude,time
0,79.4000015258789,76.0,5.010000228881836,103,53.36370773613453,-6.190182846039534,2015-09-13T06:25:51
1,90.80000305175781,83.0,28.09000015258789,106,53.363760793581605,-6.190518541261554,2015-09-13T06:25:56
2,90.80000305175781,84.0,34.7400016784668,106,53.36377898231149,-6.1906137596815825,2015-09-13T06:25:57
3,90.80000305175781,85.0,40.650001525878906,108,53.363817036151886,-6.190668493509293,2015-09-13T06:26:00
4,90.80000305175781,87.0,52.09000015258789,110,53.36387721821666,-6.190770836547017,2015-09-13T06:26:03
5,90.80000305175781,85.0,74.12999725341797,111,53.363883001729846,-6.191104939207435,2015-09-13T06:26:07
6,90.80000305175781,84.0,111.4000015258789,114,53.36391409859061,-6.191663173958659,2015-09-13T06:26:13
7,90.80000305175781,85.0,120.5199966430664,115,53.363917199894786,-6.191800134256482,2015-09-13T06:26:14
8,90.80000305175781,86.0,137.38999938964844,116,53.363936226814985,-6.192051256075501,2015-09-13T06:26:17
9,90.80000305175781,85.0,153.60000610351562,117,53.36396514438093,-6.192290224134922,2015-09-13T06:26:20
10,90.80000305175781,84.0,193.22999572753906,117,53.364005042240024,-6.192881064489484,2015-09-13T06:26:27
11,90.80000305175781,88.0,248.19000244140625,118,53.36406363174319,-6.193700982257724,2015-09-13T06:26:36
12,89.0,88.0,300.3299865722656,120,53.36408517323434,-6.194486282765865,2015-09-13T06:26:43
13,87.19999694824219,44.0,304.94000244140625,120,53.364090621471405,-6.1945548467338085,2015-09-13T06:26:44
14,85.4000015258789,0.0,309.75,120,53.36409665644169,-6.1946264281868935,2015-09-13T06:26:45
15,83.5999984741211,0.0,314.2900085449219,120,53.36409975774586,-6.194694405421615,2015-09-13T06:26:46
16,81.80000305175781,0.0,318.2799987792969,119,53.36410168558359,-6.194754419848323,2015-09-13T06:26:47
17,81.80000305175781,0.0,326.6700134277344,119,53.364097410812974,-6.19488132186234,2015-09-13T06:26:49
18,81.80000305175781,64.0,335.2099914550781,116,53.36409782990813,-6.195009732618928,2015-09-13T06:26:51
19,81.80000305175781,79.0,361.45001220703125,115,53.36412305943668,-6.195401670411229,2015-09-13T06:26:56
20,81.80000305175781,85.0,402.3599853515625,116,53.364135045558214,-6.196016147732735,2015-09-13T06:27:03
21,81.80000305175781,86.0,449.94000244140625,116,53.36415247991681,-6.196730034425855,2015-09-13T06:27:11
22,81.80000305175781,87.0,462.3999938964844,117,53.36413965560496,-6.196918040513992,2015-09-13T06:27:13
23,81.80000305175781,88.0,475.260009765625,117,53.36413714103401,-6.197110572829843,2015-09-13T06:27:15
24,81.80000305175781,88.0,525.5399780273438,118,53.36412305943668,-6.197865279391408,2015-09-13T06:27:22
25,81.80000305175781,89.0,578.8599853515625,119,53.364107217639685,-6.198665834963322,2015-09-13T06:27:30
26,81.80000305175781,90.0,631.25,120,53.36409095674753,-6.199452141299844,2015-09-13T06:27:38
27,81.80000305175781,93.0,685.9299926757812,119,53.36409464478493,-6.200273232534528,2015-09-13T06:27:46
28,81.80000305175781,91.0,731.7999877929688,120,53.36412859149277,-6.200960380956531,2015-09-13T06:27:53
29,82.19999694824219,90.0,738.5700073242188,120,53.3641376439482,-6.201061215251684,2015-09-13T06:27:54
30,82.5999984741211,90.0,744.77001953125,120,53.36414560675621,-6.2011535838246346,2015-09-13T06:27:55
31,83.0,90.0,758.22998046875,121,53.36415717378259,-6.201354581862688,2015-09-13T06:27:57
32,83.80000305175781,90.0,765.6400146484375,121,53.364157006144524,-6.201466228812933,2015-09-13T06:27:58
33,83.80000305175781,92.0,793.4099731445312,124,53.364205453544855,-6.201876187697053,2015-09-13T06:28:02
34,83.80000305175781,90.0,799.030029296875,124,53.36422758176923,-6.201954977586865,2015-09-13T06:28:03
35,83.80000305175781,93.0,828.6900024414062,124,53.36434610188007,-6.202363260090351,2015-09-13T06:28:08
36,83.80000305175781,93.0,835.4299926757812,125,53.36436806246638,-6.202457472681999,2015-09-13T06:28:09
37,83.80000305175781,93.0,896.72998046875,127,53.36454542353749,-6.203329274430871,2015-09-13T06:28:18
38,84.19999694824219,92.0,947.0499877929688,129,53.36466855369508,-6.20405531488359,2015-09-13T06:28:26
39,84.5999984741211,91.0,953.3499755859375,129,53.36467584595084,-6.204149527475238,2015-09-13T06:28:27
40,85.19999694824219,90.0,960.1199951171875,129,53.36467735469341,-6.204251116141677,2015-09-13T06:28:28
41,85.5999984741211,88.0,966.510009765625,129,53.364676432684064,-6.204347088932991,2015-09-13T06:28:29
42,86.0,86.0,972.5599975585938,129,53.364676432684064,-6.204438032582402,2015-09-13T06:28:30
43,86.0,85.0,978.2999877929688,130,53.364681545645,-6.204523863270879,2015-09-13T06:28:31
44,86.0,0.0,996.4299926757812,129,53.36469906382263,-6.204794682562351,2015-09-13T06:28:34
45,86.0,0.0,1006.3599853515625,128,53.36468959227204,-6.204942706972361,2015-09-13T06:28:36
46,86.0,0.0,1020.9400024414062,125,53.36460334248841,-6.205090479925275,2015-09-13T06:28:39
47,86.0,87.0,1039.5799560546875,123,53.36443495005369,-6.2051041424274445,2015-09-13T06:28:42
48,86.0,86.0,1081.0799560546875,122,53.364063715562224,-6.20516256429255,2015-09-13T06:28:48
49,86.0,91.0,1110.6500244140625,119,53.363799350336194,-6.205206988379359,2015-09-13T06:28:52
50,85.4000015258789,68.0,1124.52001953125,117,53.36367513053119,-6.205223836004734,2015-09-13T06:28:54
51,85.0,0.0,1131.9200439453125,116,53.3636090811342,-6.205236408859491,2015-09-13T06:28:55
