time,altitude,cadence,distance,heart_rate,latitude,longitude,time_diff,breaks
2015-09-13 06:25:51,79.4000015258789,76,5.010000228881836,103,53.36370773613453,-6.190182846039534,1.0,False
2015-09-13 06:25:52,81.68000183105468,77,9.626000213623048,104,53.363718347623944,-6.190249985083938,0.0,False
2015-09-13 06:25:53,83.96000213623046,79,14.242000198364257,104,53.36372895911336,-6.190317124128342,0.0,False
2015-09-13 06:25:54,86.24000244140625,80,18.858000183105467,105,53.36373957060278,-6.190384263172746,0.0,False
2015-09-13 06:25:55,88.52000274658202,82,23.47400016784668,105,53.3637501820922,-6.19045140221715,0.0,False
2015-09-13 06:25:56,90.8000030517578,83,28.09000015258789,106,53.36376079358161,-6.190518541261554,5.0,False
2015-09-13 06:25:57,90.8000030517578,84,34.740001678466804,106,53.363778982311494,-6.190613759681583,1.0,False
2015-09-13 06:25:58,90.8000030517578,84,36.71000162760417,107,53.36379166692496,-6.19063200429082,0.0,False
2015-09-13 06:25:59,90.8000030517578,85,38.68000157674154,107,53.36380435153842,-6.190650248900056,0.0,False
2015-09-13 06:26:00,90.8000030517578,85,40.650001525878906,108,53.363817036151886,-6.190668493509293,3.0,False
2015-09-13 06:26:01,90.8000030517578,86,44.46333440144857,109,53.36383709684014,-6.190702607855201,0.0,False
2015-09-13 06:26:02,90.8000030517578,86,48.27666727701823,109,53.3638571575284,-6.190736722201109,0.0,False
2015-09-13 06:26:03,90.8000030517578,87,52.09000015258789,110,53.36387721821666,-6.190770836547017,3.0,False
2015-09-13 06:26:04,90.8000030517578,86,57.59999942779541,110,53.363878664094955,-6.1908543622121215,0.0,False
2015-09-13 06:26:05,90.8000030517578,86,63.10999870300293,110,53.36388010997325,-6.190937887877226,0.0,False
2015-09-13 06:26:06,90.8000030517578,86,68.61999797821045,111,53.363881555851556,-6.19102141354233,0.0,False
2015-09-13 06:26:07,90.8000030517578,85,74.12999725341797,111,53.36388300172985,-6.191104939207435,4.0,False
2015-09-13 06:26:08,90.8000030517578,85,80.34166463216145,112,53.36388818453998,-6.191197978332639,0.0,False
2015-09-13 06:26:09,90.8000030517578,85,86.55333201090495,112,53.36389336735011,-6.191291017457843,0.0,False
2015-09-13 06:26:10,90.8000030517578,84,92.76499938964844,112,53.36389855016023,-6.191384056583047,0.0,False
2015-09-13 06:26:11,90.8000030517578,84,98.97666676839192,113,53.36390373297036,-6.191477095708251,0.0,False
2015-09-13 06:26:12,90.8000030517578,84,105.18833414713541,114,53.363908915780485,-6.191570134833455,0.0,False
2015-09-13 06:26:13,90.8000030517578,84,111.4000015258789,114,53.36391409859061,-6.191663173958659,6.0,False
2015-09-13 06:26:14,90.8000030517578,85,120.5199966430664,115,53.36391719989479,-6.191800134256482,1.0,False
2015-09-13 06:26:15,90.8000030517578,85,126.14333089192708,115,53.36392354220152,-6.191883841529489,0.0,False
2015-09-13 06:26:16,90.8000030517578,86,131.76666514078775,116,53.36392988450825,-6.191967548802495,0.0,False
2015-09-13 06:26:17,90.8000030517578,86,137.38999938964844,116,53.36393622681498,-6.192051256075501,3.0,False
2015-09-13 06:26:18,90.8000030517578,86,142.7933349609375,116,53.36394586600363,-6.192130912095308,0.0,False
2015-09-13 06:26:19,90.8000030517578,85,148.19667053222656,117,53.36395550519228,-6.192210568115116,0.0,False
2015-09-13 06:26:20,90.8000030517578,85,153.60000610351562,117,53.363965144380934,-6.192290224134923,3.0,False
2015-09-13 06:26:21,90.8000030517578,85,159.26143319266183,117,53.36397084407509,-6.19237462989986,0.0,False
2015-09-13 06:26:22,90.8000030517578,85,164.92286028180803,117,53.36397654376924,-6.192459035664798,0.0,False
2015-09-13 06:26:23,90.8000030517578,85,170.58428737095423,117,53.3639822434634,-6.192543441429735,0.0,False
2015-09-13 06:26:24,90.8000030517578,84,176.24571446010043,117,53.363987943157554,-6.192627847194672,0.0,False
2015-09-13 06:26:25,90.8000030517578,84,181.90714154924663,117,53.36399364285171,-6.192712252959609,0.0,False
2015-09-13 06:26:26,90.8000030517578,84,187.56856863839283,117,53.36399934254586,-6.192796658724546,0.0,False
2015-09-13 06:26:27,90.8000030517578,84,193.22999572753903,117,53.36400504224002,-6.192881064489484,7.0,False
2015-09-13 06:26:28,90.8000030517578,84,199.33666314019095,117,53.36401155218481,-6.192972166463733,0.0,False
2015-09-13 06:26:29,90.8000030517578,85,205.44333055284287,117,53.36401806212961,-6.193063268437982,0.0,False
2015-09-13 06:26:30,90.8000030517578,85,211.54999796549478,117,53.364024572074406,-6.1931543704122305,0.0,False
2015-09-13 06:26:31,90.8000030517578,86,217.65666537814667,117,53.3640310820192,-6.193245472386479,0.0,False
2015-09-13 06:26:32,90.8000030517578,86,223.7633327907986,118,53.364037591964,-6.193336574360728,0.0,False
2015-09-13 06:26:33,90.8000030517578,87,229.8700002034505,118,53.364044101908796,-6.193427676334977,0.0,False
2015-09-13 06:26:34,90.8000030517578,87,235.97666761610242,118,53.36405061185359,-6.193518778309226,0.0,False
2015-09-13 06:26:35,90.8000030517578,88,242.08333502875433,118,53.36405712179839,-6.193609880283475,0.0,False
2015-09-13 06:26:36,90.8000030517578,88,248.19000244140625,118,53.364063631743186,-6.193700982257724,9.0,False
2015-09-13 06:26:37,90.54285975864954,88,255.6385716029576,118,53.36406670909906,-6.193813168044601,0.0,False
2015-09-13 06:26:38,90.28571646554128,88,263.08714076450894,119,53.36406978645495,-6.193925353831479,0.0,False
2015-09-13 06:26:39,90.02857317243303,88,270.5357099260603,119,53.364072863810826,-6.194037539618356,0.0,False
