time,distance_diff,time_diff,speed,moving,breaks
2015-09-13 06:31:02,0.0,1,0.0,False,False
2015-09-13 06:31:03,0.0,1,0.0,False,False
2015-09-13 06:31:04,0.0,1,0.0,False,False
2015-09-13 06:31:08,3.1099853516,4,2.8,True,False
2015-09-13 06:31:10,5.7199707031,2,10.3,True,False
2015-09-13 06:31:12,7.6400146484,2,13.8,True,False
2015-09-13 06:31:15,16.3499755859,3,19.6,True,False
2015-09-13 06:31:16,6.5100097656,1,23.4,True,False
2015-09-13 06:31:19,21.2399902344,3,25.5,True,False
2015-09-13 06:31:22,23.8601074219,3,28.6,True,False
2015-09-13 06:31:23,7.8999023438,1,28.4,True,False
2015-09-13 06:31:29,48.7600097656,6,29.3,True,False
2015-09-13 06:31:34,39.8801269531,5,28.7,True,False
2015-09-13 06:31:42,62.0598144531,8,27.9,True,False
2015-09-13 06:31:43,7.9602050781,1,28.7,True,False
2015-09-13 06:31:51,62.08984375,8,27.9,True,False
2015-09-13 06:31:52,7.6501464844,1,27.5,True,False
2015-09-13 06:32:00,60.2998046875,8,27.1,True,False
2015-09-13 06:32:02,14.6501464844,2,26.4,True,False
2015-09-13 06:32:10,56.83984375,8,25.6,True,False
2015-09-13 06:32:17,47.4001464844,7,24.4,True,False
2015-09-13 06:32:18,6.9799804688,1,25.1,True,False
2015-09-13 06:32:23,35.9599609375,5,25.9,True,False
2015-09-13 06:32:29,45.9099121094,6,27.5,True,False
2015-09-13 06:32:37,61.4501953125,8,27.7,True,False
2015-09-13 06:32:41,31.0998535156,4,28.0,True,False
2015-09-13 06:32:49,61.6701660156,8,27.8,True,False
2015-09-13 06:32:57,61.6398925781,8,27.7,True,False
2015-09-13 06:32:59,15.2099609375,2,27.4,True,False
2015-09-13 06:33:03,27.9001464844,4,25.1,True,False
2015-09-13 06:33:06,20.2797851562,3,24.3,True,False
2015-09-13 06:33:08,13.1000976562,2,23.6,True,False
2015-09-13 06:33:15,48.7099609375,7,25.1,True,False
2015-09-13 06:33:21,44.6799316406,6,26.8,True,False
2015-09-13 06:33:29,59.4702148438,8,26.8,True,False
2015-09-13 06:33:34,35.0,5,25.2,True,False
2015-09-13 06:33:35,6.7797851562,1,24.4,True,False
2015-09-13 06:33:41,45.3801269531,6,27.2,True,False
2015-09-13 06:33:48,54.1899414062,7,27.9,True,False
2015-09-13 06:33:50,15.8901367188,2,28.6,True,False
2015-09-13 06:33:52,16.6398925781,2,30.0,True,False
2015-09-13 06:33:58,44.2700195312,6,26.6,True,False
2015-09-13 06:34:04,48.7900390625,6,29.3,True,False
2015-09-13 06:34:11,55.2399902344,7,28.4,True,False
2015-09-13 06:34:12,8.6599121094,1,31.2,True,False
2015-09-13 06:34:14,19.8801269531,2,35.8,True,False
2015-09-13 06:34:17,29.6999511719,3,35.6,True,False
2015-09-13 06:34:19,17.8200683594,2,32.1,True,False
2015-09-13 06:34:25,54.0100097656,6,32.4,True,False
2015-09-13 06:34:30,30.3098144531,5,21.8,True,False
2015-09-13 06:34:33,12.080078125,3,14.5,True,False
2015-09-13 06:34:35,5.7299804688,2,10.3,True,False
2015-09-13 06:34:38,5.0,3,6.0,True,False
2015-09-13 06:34:41,1.0400390625,3,1.2,True,False
2015-09-13 06:34:48,8.4399414062,7,4.3,True,False
2015-09-13 06:34:54,24.1501464844,6,14.5,True,False
2015-09-13 06:34:59,25.8098144531,5,18.6,True,False
2015-09-13 06:35:07,49.8500976562,8,22.4,True,False
2015-09-13 06:35:14,39.8598632812,7,20.5,True,False
2015-09-13 06:35:21,42.6901855469,7,22.0,True,False
2015-09-13 06:35:22,0.0,1,0.0,False,False
2015-09-13 06:35:23,0.0,1,0.0,False,False
2015-09-13 06:35:29,29.0197753906,6,17.4,True,False
2015-09-13 06:35:30,5.2600097656,1,18.9,True,False
2015-09-13 06:35:35,32.1000976562,5,23.1,True,False
2015-09-13 06:35:39,28.2199707031,4,25.4,True,False
2015-09-13 06:35:41,14.1501464844,2,25.5,True,False
2015-09-13 06:35:48,49.0598144531,7,25.2,True,False
2015-09-13 06:35:53,33.1401367188,5,23.9,True,False
2015-09-13 06:35:54,6.1499023438,1,22.1,True,False
2015-09-13 06:35:58,23.419921875,4,21.1,True,False
2015-09-13 06:35:59,6.75,1,24.3,True,False
2015-09-13 06:36:03,25.0600585938,4,22.6,True,False
2015-09-13 06:36:04,7.66015625,1,27.6,True,False
2015-09-13 06:36:07,22.3999023438,3,26.9,True,False
2015-09-13 06:36:12,36.9699707031,5,26.6,True,False
2015-09-13 06:36:13,7.5300292969,1,27.1,True,False
2015-09-13 06:36:19,43.580078125,6,26.1,True,False
2015-09-13 06:36:26,49.4897460938,7,25.5,True,False
2015-09-13 06:36:33,49.830078125,7,25.6,True,False
2015-09-13 06:36:40,47.7099609375,7,24.5,True,False
2015-09-13 06:36:47,52.8500976562,7,27.2,True,False
2015-09-13 06:36:52,38.75,5,27.9,True,False
2015-09-13 06:37:00,63.490234375,8,28.6,True,False
2015-09-13 06:37:04,32.1596679688,4,28.9,True,False
2015-09-13 06:37:08,29.5903320312,4,26.6,True,False
2015-09-13 06:37:09,7.2099609375,1,26.0,True,False
2015-09-13 06:37:10,7.1997070312,1,25.9,True,False
2015-09-13 06:37:11,7.3100585938,1,26.3,True,False
2015-09-13 06:37:12,6.6899414062,1,24.1,True,False
