time,altitude,cadence,distance,heart_rate,latitude,longitude,time_diff,breaks,distance_diff,speed,moving
2015-09-13 06:25:51,79.4000015258789,76,5.010000228881836,103,53.36370773613453,-6.190182846039534,1.0,False,0.0,0.0,False
2015-09-13 06:25:52,81.68000183105468,77,9.626000213623048,104,53.36371834762394,-6.190249985083938,0.0,False,4.615999984741212,0.0,False
2015-09-13 06:25:53,83.96000213623044,79,14.242000198364256,104,53.36372895911336,-6.190317124128343,0.0,False,4.615999984741208,11.078399963378905,True
2015-09-13 06:25:54,86.24000244140625,80,18.858000183105467,105,53.36373957060278,-6.190384263172746,0.0,False,4.615999984741212,16.61759994506836,True
2015-09-13 06:25:55,88.52000274658201,82,23.47400016784668,105,53.3637501820922,-6.190451402217151,0.0,False,4.615999984741212,16.61759994506836,True
2015-09-13 06:25:56,90.8000030517578,83,28.09000015258789,106,53.36376079358161,-6.190518541261554,5.0,False,4.615999984741212,16.617599945068363,True
2015-09-13 06:25:57,90.8000030517578,84,34.740001678466804,106,53.363778982311494,-6.1906137596815825,1.0,False,6.650001525878913,19.058401794433607,True
2015-09-13 06:25:58,90.8000030517578,84,36.71000162760417,107,53.36379166692496,-6.19063200429082,0.0,False,1.9699999491373674,15.883201751708995,True
2015-09-13 06:25:59,90.8000030517578,85,38.68000157674154,107,53.36380435153842,-6.190650248900057,0.0,False,1.9699999491373674,12.708001708984382,True
2015-09-13 06:26:00,90.8000030517578,85,40.650001525878906,108,53.363817036151886,-6.190668493509293,3.0,False,1.9699999491373674,7.091999816894525,True
2015-09-13 06:26:01,90.8000030517578,86,44.46333440144858,109,53.36383709684014,-6.190702607855201,0.0,False,3.813332875569671,9.303999328613289,True
2015-09-13 06:26:02,90.8000030517578,86,48.27666727701822,109,53.3638571575284,-6.190736722201109,0.0,False,3.8133328755696425,11.515998840332019,True
2015-09-13 06:26:03,90.8000030517578,87,52.09000015258789,110,53.36387721821666,-6.190770836547017,3.0,False,3.813332875569671,13.727998352050784,True
2015-09-13 06:26:04,90.8000030517578,86,57.59999942779541,110,53.36387866409496,-6.1908543622121215,0.0,False,5.5099992752075195,15.763998031616202,True
2015-09-13 06:26:05,90.8000030517578,86,63.10999870300293,110,53.36388010997325,-6.190937887877227,0.0,False,5.5099992752075195,17.799997711181653,True
2015-09-13 06:26:06,90.8000030517578,86,68.61999797821045,111,53.36388155585156,-6.19102141354233,0.0,False,5.5099992752075195,19.83599739074707,True
2015-09-13 06:26:07,90.8000030517578,85,74.12999725341797,111,53.36388300172985,-6.191104939207435,4.0,False,5.5099992752075195,19.83599739074707,True
2015-09-13 06:26:08,90.8000030517578,85,80.34166463216145,112,53.363888184539974,-6.191197978332639,0.0,False,6.211667378743485,20.677999114990232,True
2015-09-13 06:26:09,90.8000030517578,85,86.55333201090497,112,53.36389336735011,-6.191291017457843,0.0,False,6.211667378743513,21.52000083923343,True
2015-09-13 06:26:10,90.8000030517578,84,92.76499938964844,112,53.36389855016023,-6.191384056583048,0.0,False,6.211667378743471,22.36200256347657,True
2015-09-13 06:26:11,90.8000030517578,84,98.97666676839191,113,53.363903732970364,-6.191477095708251,0.0,False,6.211667378743471,22.36200256347655,True
2015-09-13 06:26:12,90.8000030517578,84,105.18833414713541,114,53.3639089157805,-6.191570134833455,0.0,False,6.211667378743499,22.362002563476533,True
2015-09-13 06:26:13,90.8000030517578,84,111.4000015258789,114,53.36391409859061,-6.191663173958659,6.0,False,6.211667378743499,22.362002563476565,True
2015-09-13 06:26:14,90.8000030517578,85,120.5199966430664,115,53.36391719989479,-6.191800134256482,1.0,False,9.1199951171875,25.8519958496094,True
2015-09-13 06:26:15,90.8000030517578,85,126.14333089192706,115,53.36392354220152,-6.191883841529489,0.0,False,5.623334248860658,25.14599609374999,True
2015-09-13 06:26:16,90.8000030517578,86,131.76666514078778,116,53.363929884508245,-6.191967548802495,0.0,False,5.623334248860715,24.43999633789065,True
2015-09-13 06:26:17,90.8000030517578,86,137.38999938964844,116,53.36393622681498,-6.192051256075501,3.0,False,5.623334248860658,20.24400329589844,True
2015-09-13 06:26:18,90.8000030517578,86,142.7933349609375,116,53.36394586600364,-6.192130912095307,0.0,False,5.4033355712890625,19.980004882812526,True
2015-09-13 06:26:19,90.8000030517578,85,148.19667053222656,117,53.36395550519228,-6.192210568115116,0.0,False,5.4033355712890625,19.71600646972654,True
2015-09-13 06:26:20,90.8000030517578,85,153.60000610351562,117,53.363965144380934,-6.192290224134923,3.0,False,5.4033355712890625,19.452008056640626,True
2015-09-13 06:26:21,90.8000030517578,85,159.26143319266183,117,53.3639708440751,-6.19237462989986,0.0,False,5.661427089146201,19.761717878069195,True
2015-09-13 06:26:22,90.8000030517578,85,164.92286028180803,117,53.36397654376925,-6.192459035664798,0.0,False,5.661427089146201,20.071427699497765,True
2015-09-13 06:26:23,90.8000030517578,85,170.58428737095426,117,53.363982243463404,-6.192543441429735,0.0,False,5.66142708914623,20.38113752092637,True
2015-09-13 06:26:24,90.8000030517578,84,176.24571446010043,117,53.36398794315755,-6.1926278471946725,0.0,False,5.661427089146173,20.38113752092633,True
2015-09-13 06:26:25,90.8000030517578,84,181.90714154924663,117,53.36399364285172,-6.192712252959608,0.0,False,5.661427089146201,20.38113752092633,True
2015-09-13 06:26:26,90.8000030517578,84,187.56856863839283,117,53.36399934254586,-6.192796658724546,0.0,False,5.661427089146201,20.3811375209263,True
2015-09-13 06:26:27,90.8000030517578,84,193.22999572753903,117,53.36400504224002,-6.192881064489484,7.0,False,5.661427089146201,20.381137520926334,True
